State,Agency Name,Latitude,Longitude,ORI,City,Population,Poverty,Poverty Rate,Violent Crime,Property Crime,Violent Crime(Per 100k),Property Crime(Per 100k),Crime Rate(Per 100k)
CT,Bridgeport Police Department,41.227399,-73.366523,CT0001500,Bridgeport,148529,33577,22.61,584,2097,393.19,1411.85,1805.03
CT,Stamford Police Department,41.060837,-73.53756,CT0013500,Stamford,134820,12534,9.3,234,1593,173.56,1181.58,1355.14
CT,New Haven Police Department,41.28382,-72.868744,CT0009300,New Haven,133874,30817,23.02,767,5240,572.93,3914.13,4487.05
CT,Waterbury Police Department,41.349717,-72.900204,CT0015100,Waterbury,113783,24247,21.31,465,3534,408.67,3105.91,3514.58
CT,Norwalk Police Department,41.096684,-73.42238,CT0010300,Norwalk,90821,8791,9.68,101,1427,111.21,1571.22,1682.43
CT,Danbury Police Department,41.40037,-73.45838,CT0003400,Danbury,86197,8752,10.15,187,975,216.94,1131.13,1348.07
CT,New Britain Police Department,41.667534,-72.77737,CT0008900,New Britain,74022,14676,19.83,365,1723,493.1,2327.69,2820.78
CT,West Hartford Police Department,41.75906,-72.73901,CT0015500,West Hartford,64034,3964,6.19,34,1979,53.1,3090.55,3143.64
CT,Meriden Police Department,41.5185,-72.82707,CT0008000,Meriden,60790,8179,13.45,121,1464,199.05,2408.29,2607.34
CT,Bristol Police Department,41.670544,-72.94299,CT0001700,Bristol,60733,5352,8.81,32,726,52.69,1195.4,1248.09
CT,West Haven Police Department,41.27384,-72.96431,CT0015600,West Haven,55518,6149,11.08,50,935,90.06,1684.14,1774.2
CT,Hartford Police Department,41.806053,-72.732916,CT0006400,Hartford,50971,6599,12.95,686,3282,1345.86,6438.96,7784.82
CT,East Hartford Police Department,41.78032,-72.611305,CT0004300,East Hartford,50971,6599,12.95,75,1153,147.14,2262.07,2409.21
CT,Milford Police Department,41.349717,-72.900204,CT0008400,Milford,50694,2055,4.05,63,1270,124.28,2505.23,2629.5
CT,Middletown Police Department,41.557114,-72.64751,CT0008300,Middletown,47164,4843,10.27,39,713,82.69,1511.75,1594.44
CT,Shelton Police Department,41.320045,-73.11258,CT0012600,Shelton,40944,2421,5.91,22,257,53.73,627.69,681.42
CT,Norwich Police Department,41.516167,-72.08029,CT0010400,Norwich,40020,4218,10.54,87,524,217.39,1309.35,1526.74
CT,Manchester Police Department,41.783634,-72.51181,CT0007700,Manchester,36832,4994,13.56,66,1055,179.19,2864.36,3043.55
