State,Agency Name,Latitude,Longitude,ORI,City,Population,Poverty,Poverty Rate
NE,Hastings Police Department,40.520632,-98.500044,NB0010100,Hastings,25247.0,3580.0,14.18
NE,Norfolk Police Department,41.909929,-97.606856,NB0600100,Norfolk,24964.0,3114.0,12.47
NE,Columbus Police Department,41.576866,-97.513467,NB0710100,Columbus,23954.0,1865.0,7.79
NE,Papillion Police Department,41.115064,-96.109125,NB0770200,Papillion,23875.0,1129.0,4.73
NE,North Platte Police Department,41.050322,-100.744481,NB0560100,North Platte,23543.0,3080.0,13.08
NE,La Vista Police Department,41.115064,-96.109125,NB0770400,La Vista,16786.0,1017.0,6.06
NE,Scottsbluff Police Department,41.851589,-103.70586,NB0790100,Scottsbluff,14511.0,2170.0,14.95
NE,South Sioux City Police Department,42.390456,-96.562549,NB0220100,South Sioux City,13796.0,1573.0,11.4
NE,Beatrice Police Department,40.255234,-96.683453,NB0340100,Beatrice,12276.0,2491.0,20.29
NE,Lexington Police Department,40.867378,-99.815154,NB0240300,Lexington,10325.0,1567.0,15.18
NE,Gering Police Department,41.851589,-103.70586,NB0790200,Gering,8521.0,688.0,8.07
NE,Alliance Police Department,42.215665,-103.087821,NB0070100,Alliance,8141.0,1084.0,13.32
NE,York Police Department,40.873056,-97.596742,NB0930100,York,8091.0,665.0,8.22
NE,Blair Police Department,41.533973,-96.224577,NB0890100,Blair,7725.0,976.0,12.63
NE,Seward Police Department,40.871944,-97.140383,NB0800100,Seward,7651.0,521.0,6.81
NE,McCook Police Department,40.16942,-100.468576,NB0730100,McCook,7425.0,825.0,11.11
NE,Crete Police Department,40.516802,-97.131755,NB0760200,Crete,7224.0,1347.0,18.65
NE,Nebraska City Police Department,40.637992,-96.131027,NB0660100,Nebraska City,7206.0,1334.0,18.51
NE,Plattsmouth Police Department,40.909878,-96.140609,NB0130100,Plattsmouth,6558.0,565.0,8.62
NH,Chester Police Department,42.9603,-71.26257,NH0081000,Chester,114730.0,14064.0,12.26
NH,Manchester Police Department,42.989944,-71.46063,NH0063400,Manchester,114730.0,14064.0,12.26
NH,Nashua Police Department,42.911643,-71.723101,NH0064600,Nashua,90659.0,7112.0,7.84
NH,Concord Police Department,43.205547,-71.53967,NH0071600,Concord,43552.0,3834.0,8.8
NH,Dover Police Department,43.19398,-70.87545,NH0090400,Dover,32599.0,2536.0,7.78
NH,Rochester Police Department,43.293172,-71.035889,NH0092000,Rochester,32317.0,2958.0,9.15
NH,Derry Police Department,42.892834,-71.32795,NH0081600,Derry,23571.0,1934.0,8.2
NH,Londonderry Police Department,42.860878,-71.37196,NH0083800,Londonderry,23571.0,1934.0,8.2
NH,Keene Police Department,42.92329,-72.26388,NH0031800,Keene,22969.0,2320.0,10.1
NH,Portsmouth Police Department,43.061455,-70.76706,NH0085800,Portsmouth,21897.0,1293.0,5.9
NH,Laconia Police Department,43.519109,-71.425366,NH0011400,Laconia,16786.0,1688.0,10.06
NH,Lebanon Police Department,43.632645,-72.289085,NH0054400,Lebanon,14316.0,1103.0,7.7
NH,Claremont Police Department,43.372253,-72.33752,NH0100600,Claremont,12955.0,2143.0,16.54
NH,Somersworth Police Department,43.293172,-71.035889,NH0092400,Somersworth,11964.0,1286.0,10.75
NH,Durham Police Department,43.293172,-71.035889,NH0090600,Durham,11616.0,877.0,7.55
NH,New Durham Police Department,43.293172,-71.035889,NH0091800,New Durham,11616.0,877.0,7.55
NH,Exeter Police Department,42.988842,-71.098746,NH0082200,Exeter,9908.0,660.0,6.66
NH,New Hampton Police Department,43.519109,-71.425366,NH0011800,New Hampton,9900.0,295.0,2.98
NH,South Hampton Police Department,42.988842,-71.098746,NH0087000,South Hampton,9900.0,295.0,2.98
NH,Hampton Police Department,42.988842,-71.098746,NH0083000,Hampton,9900.0,295.0,2.98
NH,Hampton Falls Police Department,42.988842,-71.098746,NH0083200,Hampton Falls,9900.0,295.0,2.98
NH,North Hampton Police Department,42.973667,-70.83402,NH0085000,North Hampton,9900.0,295.0,2.98
NH,Berlin Police Department,44.469833,-71.18588,NH0040600,Berlin,9710.0,1119.0,11.52
NH,Hanover Police Department,43.718887,-72.27353,NH0053400,Hanover,8813.0,490.0,5.56
NH,Franklin Police Department,43.299485,-71.68013,NH0072400,Franklin,8766.0,413.0,4.71
NJ,Jersey City Police Department,40.720917,-74.04438,NJ0090600,Jersey City,287146.0,45883.0,15.98
